name_en,frequency,suggested_family
pine balsam,4,woody
aglaia,4,other
red bell pepper,4,spicy
roasted apple,4,fruity
aromatic herbs,4,herbal
blue jasmine,4,white_floral
candied mandarin orange,4,citrus
camphor wood,4,woody
tamboti wood,4,woody
cinnamon orpur,4,spicy
blue musk,4,musk
ajowan,4,other
champaca leaf,4,green
gardenia leaf,4,white_floral
azalea,4,other
manipur oud,4,woody
jasminum fruticans,4,other
purple peony,4,floral
kentucky tobacco,4,tobacco
sedum,4,other
onycha,4,other
lavender orpur,4,floral
sandalwood orpur,4,woody
pink pepper orpur,4,spicy
habanolide,4,other
candied bergamot,4,citrus
araucaria,4,other
pink cyclamen,4,other
argania,4,other
vine,4,other
cocoa shell,4,gourmand
maillette lavender,4,floral
mayotte ylang-ylang,4,other
kir royal,4,other
figolide,4,fruity
evee,4,other
white amaryllis,4,other
hawaiian jasmine,4,white_floral
helional,4,other
muskmelon,4,musk
desert rose,4,floral
pink water lily,4,white_floral
coconut shell,4,fruity
green citrus fruits,4,citrus
purple lilac,4,other
green orchid,4,white_floral
american peppermint,4,spicy
musk ketone,4,musk
yellow peony,4,floral
pink peach,4,fruity
sugar icing,4,gourmand
karmaflor,4,other
black grape,4,fruity
red leather,4,leather
pine tar,4,woody
sorbet,4,other
torch ginger,4,boozy
apple juice,4,fruity
guinea orange,4,citrus
cocaine,4,other
blue spruce,4,other
jamaican pepper,4,spicy
new guinean vanilla,4,gourmand
balkans oakmoss,4,earthy
cedramber,4,balsamic
lemon tree wood,4,woody
rice wine,4,boozy
red pear,4,fruity
thistle,4,other
malbec wine,4,boozy
myrrh orpur,4,balsamic
applewood,4,woody
bengali sandalwood,4,woody
ginseng,4,boozy
blue poppy,4,other
lavender honey,4,floral
tuscany basil,4,herbal
electro-statical,3,other
pittosporum blossom,3,boozy
shisha tobacco,3,tobacco
sycamore wood,3,woody
tarocco orange,3,citrus
royal jelly,3,other
caramelized almond,3,gourmand
citrus tree wood,3,woody
baltic amber,3,balsamic
almond liqueur,3,boozy
pink lily,3,white_floral
cedar orpur,3,woody
mango wood,3,woody
habanero chili,3,other
poinsettia,3,other
white oleander,3,other
honeyed tobacco,3,tobacco
carbon,3,other
